Zipcode	Zipcode2
85001	85001	85003	85026	85072	85074	85004	85005
85003	85001	85003	85026	85072	85074	85004	85005
85004	85004	85005	85007	85009	85096	85001	85003
85005	85004	85005	85007	85009	85096	85001	85003
85006	85006	85008	85001	85003	85026	85072	85074
85007	85004	85005	85007	85009	85096	85001	85003
85008	85006	85008	85001	85003	85026	85072	85074
85009	85004	85005	85007	85009	85096	85001	85003
85011	85011	85012	85013	85015	85016	85017	85018
85012	85011	85012	85013	85015	85016	85017	85018
85013	85011	85012	85013	85015	85016	85017	85018
85015	85011	85012	85013	85015	85016	85017	85018
85016	85011	85012	85013	85015	85016	85017	85018
85017	85011	85012	85013	85015	85016	85017	85018
85018	85011	85012	85013	85015	85016	85017	85018
85019	85011	85012	85013	85015	85016	85017	85018
85020	85020	85021	85051	85022	85032	85053	85028
85021	85021	85051	85029	85071	85020	85061	85011
85022	85022	85032	85053	85023	85036	85080	85020
85023	85023	85036	85080	85029	85071	85022	85032
85024	85024	85050	85027	85022	85032	85053	85023
85026	85001	85003	85026	85072	85074	85004	85005
85027	85027	85024	85083	85085	85050	85023	85036
85028	85028	85069	85020	85022	85032	85053	85011
85029	85029	85071	85023	85036	85080	85021	85051
85031	85031	85033	85039	85035	85061	85043	85037
85032	85022	85032	85053	85023	85036	85080	85020
85033	85031	85033	85039	85035	85061	85043	85037
85035	85035	85031	85033	85039	85043	85037	85061
85036	85023	85036	85080	85029	85071	85022	85032
85037	85037	85035	85043	85031	85033	85039	85061
85039	85031	85033	85039	85035	85061	85043	85037
85040	85040	85066	85065	85097	85042	85004	85005
85041	85041	85044	85004	85005	85007	85009	85096
85042	85042	85066	85040	85044	85065	85097	85076
85043	85043	85035	85037	85031	85033	85039	85041
85044	85044	85042	85045	85070	85066	85041	85048
85045	85045	85070	85044	85048	85041	85042	85076
85048	85048	85076	85044	85045	85070	85042	85066
85050	85050	85024	85054	85068	85027	85022	85032
85051	85021	85051	85029	85071	85020	85061	85011
85053	85022	85032	85053	85023	85036	85080	85020
85054	85054	85068	85050	85024	85022	85032	85053
85061	85061	85031	85033	85039	85021	85051	85011
85063	85011	85012	85013	85015	85016	85017	85018
85064	85011	85012	85013	85015	85016	85017	85018
85065	85065	85097	85040	85066	85006	85008	85001
85066	85066	85040	85042	85065	85097	85044	85004
85068	85054	85068	85050	85024	85022	85032	85053
85069	85028	85069	85020	85022	85032	85053	85011
85070	85045	85070	85044	85048	85041	85042	85076
85071	85029	85071	85023	85036	85080	85021	85051
85072	85001	85003	85026	85072	85074	85004	85005
85074	85001	85003	85026	85072	85074	85004	85005
85076	85076	85048	85042	85044	85066	85040	85045
85079	85011	85012	85013	85015	85016	85017	85018
85080	85023	85036	85080	85029	85071	85022	85032
85083	85083	85085	85027	85086	85023	85024	85036
85085	85085	85083	85027	85086	85024	85023	85036
85086	85086	85085	85083	85027	85087	85024	85050
85087	85087	85086	85085	85027	85083	85050	85024
85096	85004	85005	85007	85009	85096	85001	85003
85097	85065	85097	85040	85066	85006	85008	85001
